"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Thranduil, Sindarin Liege","UG","U","49485","3.23","12917","3.86","69072","84.3%","55.2%","11998","56.6%","18828","59.3%","30826","58.2%","37788","52.6%","5.6pp"
"Thranduil, the Elvenking","UBG","R","24025","4.70","3250","6.83","3941","19.7%","46.0%","646","40.2%","946","49.7%","1592","45.9%","2326","45.8%","0.1pp"
"Thranduil's Company","UG","R","11915","2.54","4768","2.62","25084","82.6%","55.6%","4238","61.5%","6937","61.9%","11175","61.7%","13756","50.6%","11.2pp"
"Tom, Bert, and William","BG","R","11246","2.34","4902","2.36","25979","82.8%","55.9%","4275","56.2%","6017","58.7%","10292","57.7%","15634","54.5%","3.2pp"
"The Arkenstone","","M","2809","1.15","2557","1.14","16338","98.8%","57.2%","2852","59.2%","4310","61.3%","7162","60.5%","9153","54.6%","5.9pp"
"The Black Arrow","","U","90399","5.69","9497","8.78","17208","29.0%","52.0%","2938","49.4%","4131","51.9%","7069","50.8%","10085","52.8%","-2.0pp"
"Dwarven Mattock","","U","79932","4.95","11943","6.95","50398","66.7%","55.4%","8688","56.4%","12016","54.3%","20704","55.1%","29353","55.4%","-0.2pp"
"Giant's Boulder","","C","236134","7.16","25823","10.68","31261","19.3%","50.4%","5926","47.0%","7643","51.4%","13569","49.5%","17640","51.1%","-1.6pp"
"Glamdring, Foe-hammer","","R","28022","5.35","3421","8.23","1125","5.2%","39.8%","179","","325","","504","35.7%","620","43.2%","-7.5pp"
"Key to the Side-Door","","U","101013","7.01","10410","10.68","5562","8.6%","49.7%","929","45.1%","1252","50.1%","2181","48.0%","3376","50.7%","-2.8pp"
"My Precious","","R","10927","2.28","3163","2.40","15463","82.0%","51.2%","2617","47.2%","3625","53.7%","6242","51.0%","9184","51.3%","-0.4pp"
"Orcrist, Goblin-cleaver","","M","4686","1.94","1380","1.99","6548","78.6%","50.8%","1144","47.9%","1539","52.0%","2683","50.3%","3834","51.1%","-0.8pp"
"Sting, Bilbo's Sword","","R","16832","3.33","2573","4.28","9793","62.9%","50.6%","1664","45.0%","2471","50.3%","4135","48.1%","5618","52.3%","-4.2pp"
"Thrór's Map","","U","76237","4.47","13182","6.21","55100","67.0%","53.5%","10161","52.2%","14774","56.2%","24935","54.5%","30105","52.6%","1.9pp"
"Well-Worn Spatula","","C","238058","7.35","27636","10.81","37169","21.2%","53.9%","6615","52.4%","8920","53.1%","15535","52.8%","21524","54.7%","-1.8pp"
"Elven Passage","","R","24171","4.17","4067","5.95","19352","75.6%","54.3%","3545","53.4%","4800","54.9%","8345","54.3%","10962","54.3%","-0.0pp"
"Elvenking's Halls","","C","165264","7.15","22408","10.22","59760","42.6%","52.1%","10879","53.1%","15387","53.2%","26266","53.1%","33356","51.2%","1.9pp"
"Goblin-town","","C","157358","5.96","24807","8.69","116845","73.4%","56.3%","21515","57.6%","26059","52.7%","47574","54.9%","69265","57.3%","-2.3pp"
"Hobbit Hole","","C","210788","5.39","39462","7.73","220467","87.1%","56.1%","40488","56.5%","55027","55.3%","95515","55.8%","124715","56.3%","-0.5pp"
"Iron Hills","","C","161194","6.53","24360","9.37","90464","58.5%","55.3%","16569","56.6%","21978","52.3%","38547","54.1%","51915","56.2%","-2.0pp"
"Lake-town","","C","164411","7.05","27424","9.72","107072","61.9%","55.3%","19466","56.3%","33028","55.7%","52494","55.9%","54542","54.6%","1.3pp"
"The Lonely Mountain","","R","15921","2.98","4996","3.41","28239","87.1%","57.1%","4948","58.2%","6667","58.1%","11615","58.1%","16614","56.3%","1.8pp"
"Mirkwood","","C","157786","6.16","22822","8.96","95585","65.6%","55.3%","17671","57.3%","20759","53.1%","38430","55.0%","57067","55.5%","-0.4pp"
