"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Social Snub","WB","U","35308","6.59","3844","9.80","4197","17.7%","51.1%","695","47.8%","1096","52.9%","1791","50.9%","2378","51.1%","-0.1pp"
"Spectacular Skywhale","UR","U","24543","4.28","4953","5.46","22903","77.0%","52.7%","3832","50.1%","6610","54.4%","10442","52.8%","11869","52.2%","0.5pp"
"Spirit Mascot","WR","C","77317","6.16","13971","7.95","64023","72.8%","57.9%","11196","58.4%","16745","55.9%","27941","56.9%","36110","58.7%","-1.8pp"
"Splatter Technique","UR","R","6427","2.52","2945","2.52","15362","83.8%","56.4%","2671","56.5%","4655","63.0%","7326","60.6%","7224","51.1%","9.6pp"
"Stadium Tidalmage","UR","C","85274","6.87","12473","9.57","35398","46.6%","53.6%","5880","53.2%","10479","55.9%","16359","54.9%","18327","52.2%","2.7pp"
"Startled Relic Sloth","WR","U","24234","4.15","6161","4.92","32505","83.0%","58.5%","5425","58.2%","9043","59.5%","14468","59.0%","18033","58.0%","1.0pp"
"Stirring Honormancer","WB","U","26442","4.58","5616","5.63","25379","71.4%","58.0%","4235","56.2%","6603","61.3%","10838","59.3%","14360","56.9%","2.4pp"
"Stress Dream","UR","U","21442","3.59","7181","4.12","40112","88.2%","57.3%","6798","57.5%","11970","63.5%","18768","61.3%","19780","52.9%","8.4pp"
"Suspend Aggression","WR","R","10686","3.95","2948","4.53","12647","69.1%","57.3%","2155","57.7%","3477","59.2%","5632","58.6%","6961","56.2%","2.4pp"
"Tam, Observant Sequencer","UG","U","22614","3.85","4518","4.91","21316","78.6%","52.3%","3547","50.0%","6086","55.3%","9633","53.3%","11242","51.2%","2.2pp"
"Teacher's Pest","BG","U","22711","3.86","4345","4.88","21542","81.7%","54.1%","3857","54.6%","5023","54.7%","8880","54.6%","12435","53.6%","1.0pp"
"Traumatic Critique","UR","R","5724","2.21","3045","2.24","16838","88.2%","56.7%","2914","57.8%","5016","62.9%","7930","61.0%","8099","51.6%","9.4pp"
"Vibrant Outburst","UR","U","22126","3.61","6160","4.32","32828","86.2%","56.2%","5685","56.8%","9620","60.6%","15305","59.2%","16289","52.6%","6.6pp"
"Vicious Rivalry","BG","R","6854","2.67","2484","2.79","12326","81.0%","55.4%","2201","57.2%","3276","60.7%","5477","59.2%","6702","52.0%","7.2pp"
"Visionary's Dance","UR","C","77585","5.79","14056","7.87","61512","71.3%","54.6%","10930","52.7%","18552","58.8%","29482","56.5%","29994","52.0%","4.6pp"
"Wilt in the Heat","WR","C","76176","5.78","15802","7.41","69972","70.6%","57.8%","11809","56.4%","19158","59.7%","30967","58.5%","38683","57.1%","1.3pp"
"Witherbloom Charm","BG","U","26380","4.47","4156","6.10","18759","73.7%","53.9%","3142","51.3%","4863","55.9%","8005","54.1%","10682","53.7%","0.4pp"
"Witherbloom, the Balancer","BG","M","2078","1.73","1013","1.76","4764","80.0%","51.2%","804","47.8%","1305","52.7%","2109","50.8%","2566","51.0%","-0.1pp"
"Zaffai and the Tempests","UR","R","11535","4.08","2028","5.40","6318","51.3%","51.0%","1027","47.5%","1991","55.0%","3018","52.5%","3172","49.5%","3.0pp"
"Biblioplex Tomekeeper","","C","94280","8.30","9868","12.08","2132","3.5%","46.9%","311","","577","47.0%","888","44.3%","1234","48.7%","-4.4pp"
"Diary of Dreams","","U","33928","5.68","5241","7.82","16262","51.2%","52.2%","2917","49.6%","4561","53.1%","7478","51.7%","8552","52.5%","-0.8pp"
"Mage Tower Referee","","C","90397","7.32","11533","10.51","19685","27.8%","53.2%","3627","51.8%","4880","53.8%","8507","53.0%","11085","53.3%","-0.3pp"
"Page, Loose Leaf","","C","91518","7.80","11661","11.08","13754","19.4%","53.2%","2548","52.5%","3699","53.9%","6247","53.3%","7378","53.2%","0.2pp"
"Potioner's Trove","","C","80502","5.85","14692","7.79","57973","64.3%","55.4%","10651","57.4%","16276","58.5%","26927","58.1%","30191","52.9%","5.2pp"
