"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Brotherhood's End","R","R","1876","3.44","433","","1919","70.7%","57.9%","332","","545","59.8%","877","60.3%","991","55.9%","4.4pp"
"Pestbrood Sloth","G","U","18522","3.69","4596","4.55","24704","87.2%","56.7%","4284","60.1%","6625","60.4%","10909","60.3%","13465","53.6%","6.7pp"
"Blech, Loafing Pest","BG","R","4900","2.34","1897","2.38","9285","80.3%","55.7%","1622","61.7%","2324","59.2%","3946","60.2%","5198","52.0%","8.2pp"
"Emeritus of Woe","B","M","1560","1.42","1087","1.40","5850","88.2%","56.4%","1034","58.9%","1553","61.0%","2587","60.2%","3196","53.3%","6.9pp"
"Subterranean Tremors","R","M","523","2.21","255","","1410","88.7%","56.0%","245","","438","","683","60.2%","678","50.6%","9.6pp"
"Scheming Silvertongue","B","R","3769","1.77","1915","1.79","10521","88.5%","56.3%","1967","61.4%","2653","59.3%","4620","60.2%","5794","53.3%","6.8pp"
"Repel Calamity","W","U","18359","3.78","4617","4.48","25465","87.2%","58.3%","4469","58.3%","6535","61.4%","11004","60.1%","14281","56.8%","3.4pp"
"Applied Geometry","UG","R","5316","2.44","2348","2.52","12045","83.5%","55.6%","2047","58.5%","3514","60.9%","5561","60.0%","6195","51.4%","8.6pp"
"Echocasting Symposium","U","M","1822","1.82","1124","1.74","5939","86.0%","56.0%","995","56.0%","1756","62.2%","2751","60.0%","2892","50.9%","9.1pp"
"Colossus of the Blood Age","WR","U","21420","4.41","5839","5.18","28749","78.6%","58.0%","4808","56.8%","8194","61.6%","13002","59.8%","15645","56.3%","3.5pp"
"End of the Hunt","B","U","17125","3.44","4395","4.11","23652","85.3%","57.3%","4168","57.7%","5917","61.4%","10085","59.8%","13347","55.1%","4.8pp"
"Archaic's Agony","R","U","31220","7.02","5392","9.37","10927","33.2%","56.4%","1817","53.8%","3357","63.1%","5174","59.8%","5552","52.6%","7.2pp"
"Impractical Joke","R","U","15894","3.22","5955","3.66","34656","92.9%","57.7%","6208","57.1%","9817","61.5%","16025","59.8%","18019","55.5%","4.3pp"
"Burst Lightning","R","U","15166","3.12","5470","3.59","31457","92.0%","57.2%","5496","58.1%","8854","60.7%","14350","59.7%","16492","54.7%","4.9pp"
"Stock Up","U","U","13917","2.93","5178","3.35","28957","90.9%","56.1%","5042","57.2%","8479","60.9%","13521","59.6%","14794","52.7%","6.8pp"
"Rubble Rouser","R","C","64164","5.87","12885","7.56","58884","72.8%","57.9%","10447","59.9%","16110","59.2%","26557","59.5%","32051","56.6%","2.9pp"
"Stirring Honormancer","WB","U","22007","4.58","4689","5.64","21114","71.6%","58.1%","3526","55.9%","5502","61.6%","9028","59.4%","11922","57.0%","2.4pp"
"Jadzi, Steward of Fate","U","R","4142","1.95","2389","1.97","13282","90.2%","56.0%","2382","55.8%","3879","61.6%","6261","59.4%","6687","52.3%","7.1pp"
"Sundering Archaic","","U","26015","5.15","6034","6.53","24110","65.2%","56.2%","4013","55.7%","7275","61.3%","11288","59.3%","12301","52.8%","6.5pp"
"Sanar, Unfinished Genius","UR","U","18845","3.84","4996","4.64","25697","83.3%","56.1%","4493","60.0%","7572","58.8%","12065","59.3%","13051","53.0%","6.3pp"
"Additive Evolution","G","U","18074","3.71","4324","4.46","21966","82.3%","55.6%","3647","57.7%","5811","60.2%","9458","59.2%","12211","52.5%","6.7pp"
"Ajani's Response","W","C","60058","5.24","10012","7.13","45838","72.8%","57.9%","7795","56.7%","12118","60.7%","19913","59.2%","25597","56.7%","2.4pp"
"Pensive Professor","U","R","4436","2.13","2179","2.13","11904","89.9%","54.9%","2082","58.5%","3406","59.5%","5488","59.1%","6127","50.9%","8.2pp"
"Conciliator's Duelist","WB","R","5618","2.70","2013","2.68","9639","76.9%","57.0%","1586","56.9%","2532","60.5%","4118","59.1%","5424","55.0%","4.1pp"
"Vibrant Outburst","UR","U","18446","3.62","5066","4.35","26914","85.9%","56.3%","4647","57.0%","7836","60.3%","12483","59.1%","13409","53.0%","6.1pp"
"Startled Relic Sloth","WR","U","20365","4.21","5067","5.01","26566","82.5%","58.5%","4419","58.6%","7323","59.3%","11742","59.0%","14820","58.0%","1.0pp"
"Vicious Rivalry","BG","R","5665","2.66","2065","2.77","10086","80.9%","55.4%","1763","56.2%","2664","60.9%","4427","59.0%","5543","52.3%","6.7pp"
"Paradox Surveyor","UG","U","21336","4.31","4962","5.35","23955","77.7%","56.1%","4230","57.5%","6874","59.9%","11104","59.0%","12358","53.3%","5.7pp"
"Foolish Fate","B","U","13645","2.75","4614","3.20","26544","92.1%","56.7%","4621","55.6%","6736","61.2%","11357","58.9%","14910","54.9%","4.1pp"
"Matterbending Mage","U","U","18593","3.73","5598","4.41","30407","88.1%","56.4%","5387","55.7%","8714","60.9%","14101","58.9%","15543","53.9%","5.0pp"
"Emeritus of Abundance","G","M","1625","1.58","1014","1.56","5491","88.1%","55.3%","962","56.4%","1449","60.6%","2411","58.9%","2929","52.1%","6.9pp"
"Suspend Aggression","WR","R","8920","3.98","2410","4.61","10040","67.3%","57.3%","1673","57.7%","2748","59.6%","4421","58.9%","5577","55.9%","3.0pp"
"Divergent Equation","U","U","27792","5.96","5089","7.71","17937","57.4%","56.4%","2951","53.3%","5537","61.9%","8488","58.9%","8760","53.1%","5.8pp"
"Abrade","R","U","15735","3.17","5144","3.74","29438","91.8%","56.8%","5108","57.6%","8264","59.6%","13372","58.8%","15535","54.9%","3.9pp"
"Restoration Seminar","W","M","2236","2.19","1097","2.14","5369","77.7%","56.1%","924","57.3%","1491","59.8%","2415","58.8%","2898","53.6%","5.3pp"
"Essenceknit Scholar","BG","U","16498","3.40","3980","4.05","20798","84.3%","56.1%","3683","59.1%","5189","58.7%","8872","58.8%","11575","54.0%","4.8pp"
"Unsubtle Mockery","R","C","49052","4.19","12599","5.26","72240","90.9%","57.0%","12411","57.0%","20516","59.8%","32927","58.7%","37867","55.3%","3.4pp"
"Akroma's Will","W","M","517","2.18","267","","1447","84.6%","58.3%","238","","375","","613","58.7%","812","57.5%","1.2pp"
"Stormcarved Coast","","R","9619","3.69","2173","4.90","10838","81.3%","55.7%","2052","56.4%","3003","60.2%","5055","58.7%","5524","52.9%","5.8pp"
"Quandrix Charm","UG","U","23901","4.90","4272","6.52","18011","68.6%","54.6%","3112","55.5%","5004","60.6%","8116","58.6%","9607","50.9%","7.8pp"
"Lorehold, the Historian","WR","M","1563","1.52","1120","1.48","6060","88.9%","56.2%","1011","55.5%","1741","60.5%","2752","58.6%","3262","53.9%","4.8pp"
"Tome Blast","R","C","56321","4.84","12958","6.09","69073","85.1%","57.3%","12190","57.2%","19181","59.6%","31371","58.6%","36727","56.0%","2.7pp"
"Wilt in the Heat","WR","C","63742","5.85","12961","7.50","56688","69.8%","57.9%","9586","56.2%","15443","60.1%","25029","58.6%","31413","57.3%","1.3pp"
"Great Hall of the Biblioplex","","R","9582","3.82","2052","4.86","10284","82.3%","55.7%","1883","55.2%","2828","60.9%","4711","58.6%","5387","52.9%","5.7pp"
"Artistic Process","R","U","19982","4.04","5103","4.91","26210","82.6%","56.6%","4358","55.3%","7725","60.4%","12083","58.6%","13393","54.5%","4.0pp"
"Proctor's Gaze","UG","U","22171","4.43","5175","5.49","24905","78.2%","55.9%","4234","55.9%","7244","60.1%","11478","58.6%","12959","53.3%","5.3pp"
"Wisdom of Ages","U","R","11616","4.77","2237","6.08","7643","55.6%","55.7%","1264","50.6%","2441","62.6%","3705","58.5%","3637","51.6%","6.8pp"
