"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Monica Rambeau","W","M","3580","1.42","2864","1.40","17714","94.9%","57.9%","3172","61.3%","4864","64.1%","8036","63.0%","9656","53.6%","9.4pp"
"Murdock's Crusade","W","C","133235","3.91","36672","4.82","213280","89.3%","57.9%","36125","57.4%","57877","61.4%","94002","59.9%","119353","56.3%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","25388","4.21","5674","5.42","22207","61.7%","56.1%","3931","57.0%","5612","56.5%","9543","56.7%","12634","55.6%","1.1pp"
"Night Nurse, Healer of Heroes","W","U","40027","2.86","15290","3.35","91362","93.0%","56.9%","16023","56.3%","24283","58.8%","40306","57.8%","50956","56.2%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","45325","3.24","14664","3.84","83542","88.7%","56.9%","14298","57.3%","22457","59.0%","36755","58.3%","46651","55.7%","2.6pp"
"Origin of the Avengers","W","R","10292","1.91","5448","1.97","30938","90.5%","55.7%","5542","58.1%","8109","57.5%","13651","57.8%","17287","54.2%","3.6pp"
"Panther Pounce","W","C","211431","6.96","28129","10.22","50632","28.2%","54.2%","8336","50.7%","12920","56.3%","21256","54.1%","29385","54.2%","-0.1pp"
"Patriot, Shield Wielder","W","U","50706","3.59","14638","4.42","85319","91.1%","56.7%","15228","57.6%","22152","56.8%","37380","57.1%","47987","56.3%","0.8pp"
"Political Triumph","W","U","45340","3.43","14634","3.88","81394","86.1%","57.6%","14402","64.0%","20875","56.3%","35277","59.4%","46093","56.2%","3.3pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","64410","4.66","11282","6.46","47805","66.6%","55.4%","8299","54.6%","12345","55.5%","20644","55.1%","27199","55.6%","-0.5pp"
"Raft Security Officer","W","C","164101","4.85","39662","6.25","220259","86.1%","57.4%","39209","56.9%","58720","57.6%","97929","57.3%","122844","57.3%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","40712","2.96","14064","3.45","83420","92.0%","57.1%","14577","57.2%","22434","59.4%","37011","58.5%","46435","55.9%","2.6pp"
"The Sentry, Golden Guardian","W","R","12175","2.32","3944","2.43","19851","81.3%","53.4%","3470","51.7%","5431","53.7%","8901","53.0%","11072","53.4%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","173739","5.38","37331","6.87","178053","74.1%","57.0%","30808","57.9%","46562","58.0%","77370","58.0%","100665","56.3%","1.7pp"
"Super Villain Lockup","W","U","36290","2.65","11592","3.16","66949","91.4%","55.3%","11380","54.4%","17938","57.6%","29318","56.3%","37636","54.5%","1.9pp"
"Super-Soldier Serum","W","R","16829","3.08","3232","3.74","13852","70.1%","52.4%","2363","52.8%","3570","54.4%","5933","53.8%","7923","51.4%","2.4pp"
"Take Up the Shield","W","C","154006","4.36","35037","5.82","195539","86.5%","57.0%","32793","55.6%","52206","60.4%","84999","58.6%","110584","55.8%","2.8pp"
"Wakandan Drone Flock","W","C","194881","5.93","34921","8.14","138336","61.5%","57.0%","23509","54.8%","38311","58.8%","61820","57.3%","77139","56.8%","0.5pp"
"Web Up","W","C","85981","2.59","36910","2.98","227464","95.1%","57.4%","38809","56.7%","62485","61.3%","101294","59.5%","126179","55.6%","3.9pp"
"White Widow, Free Agent","W","U","50657","3.56","11967","4.56","64596","85.2%","55.5%","10994","52.8%","17119","57.2%","28113","55.5%","36419","55.4%","0.1pp"
"Aerial Doombot","U","C","178297","5.25","33506","7.25","162009","76.0%","56.2%","28848","57.0%","44351","57.7%","73199","57.4%","89108","55.2%","2.2pp"
"A.I.M. Scientists","U","C","191520","5.62","36568","7.84","155162","66.3%","56.3%","28313","55.7%","43513","57.6%","71826","56.9%","83580","55.8%","1.1pp"
"Atlantean Cavalry","U","C","207242","7.04","26878","10.30","47251","28.1%","52.4%","8311","52.2%","13667","53.2%","21978","52.8%","25376","52.0%","0.8pp"
"Atlantis Attacks","U","C","183553","5.51","36477","7.54","157585","67.9%","56.1%","26050","53.1%","44779","59.0%","70829","56.8%","86862","55.6%","1.3pp"
"Attuma, Atlantean Warlord","U","U","72850","5.59","12276","7.72","35098","45.7%","53.9%","5920","54.4%","10236","55.1%","16156","54.9%","19137","53.0%","1.8pp"
"Bold Biochemist","U","C","189083","5.67","39760","7.61","194361","76.2%","57.0%","34577","55.3%","54233","58.8%","88810","57.4%","105759","56.7%","0.7pp"
"Bruce Banner","U","M","4725","1.88","2976","1.80","17253","91.3%","57.3%","3087","62.3%","4770","59.8%","7857","60.8%","9453","54.5%","6.3pp"
"Depower","U","C","204956","6.50","32508","9.25","89204","43.3%","55.2%","15331","53.3%","24981","57.8%","40312","56.1%","48909","54.4%","1.7pp"
"Echo, Perceptive Prodigy","U","U","73222","5.53","12838","7.61","46219","57.1%","54.3%","8059","51.2%","12641","54.1%","20700","53.0%","25576","55.4%","-2.5pp"
"Falcon, Winged Wonder","U","U","47746","3.45","16700","4.02","94918","88.0%","57.8%","16150","57.1%","27429","61.4%","43579","59.8%","51578","56.2%","3.7pp"
"Falcon's Wing Harness","U","U","61475","4.38","12922","5.79","60794","74.2%","55.8%","10295","54.7%","16708","59.1%","27003","57.4%","33765","54.5%","2.9pp"
"Frozen in Ice","U","C","125162","3.59","34327","4.60","200341","91.6%","56.3%","34094","54.0%","56926","59.5%","91020","57.5%","109343","55.2%","2.2pp"
"Futurist Forge","U","C","181453","5.41","34219","7.43","155676","71.2%","56.5%","27971","56.1%","43025","59.3%","70996","58.0%","84605","55.2%","2.8pp"
"Giant-Sized Flying Ant","U","C","200056","6.30","35216","8.67","122131","54.5%","56.7%","20612","54.1%","35061","59.7%","55673","57.6%","66731","55.9%","1.8pp"
"Hydraulic Helper","U","C","208383","7.17","29731","10.14","65820","35.1%","54.0%","11879","54.2%","17250","54.8%","29129","54.6%","36656","53.5%","1.0pp"
