"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Skycoach Waypoint","","uncommon","1","-1.414","3","-0.68","4","-0.189","2","-1.108","0","-2.6675","-1.212","5"
"Sneering Shadewriter","B","common","4","-0.21","3","-0.68","4.5","0.096","4","-0.035","2.75","-0.1678","-0.199","5"
"Ascendant Dustspeaker","W","common","2","-1.013","2","-1.076","4","-0.189","3","-0.572","1.75","-1.0767","-0.785","5"
"Biblioplex Tomekeeper","","common","3","-0.611","2","-1.076","2","-1.331","0","-2.181","1","-1.7585","-1.391","5"
"Imperious Inkmage","B|W","common","4","-0.21","2","-1.076","4.5","0.096","5","0.502","2.5","-0.395","-0.217","5"
"Maelstrom Artisan // Rocket Volley","R","rare","5","0.192","6","0.507","4","-0.189","3","-0.572","4.5","1.423","0.272","5"
"Planar Engineering","G","rare","2","-1.013","6","0.507","2","-1.331","2","-1.108","1.5","-1.304","-0.85","5"
"Fractalize","U","uncommon","3","-0.611","1","-1.472","4","-0.189","3","-0.572","2.5","-0.395","-0.648","5"
"Rabid Attack","B","uncommon","2","-1.013","1","-1.472","4.5","0.096","4.5","0.233","1.75","-1.0767","-0.647","5"
"Tenured Concocter","G","common","4","-0.21","1","-1.472","3","-0.76","3","-0.572","2.5","-0.395","-0.682","5"
"Ancestral Anger","R","common","3","-0.611","4","-0.284","4.5","0.096","4","-0.035","2","-0.8495","-0.337","5"
"Archaic's Agony","R","uncommon","1","-1.414","3","-0.68","3","-0.76","2","-1.108","2","-0.8495","-0.962","5"
"Diary of Dreams","","uncommon","2","-1.013","4","-0.284","4.5","0.096","4.5","0.233","1","-1.7585","-0.545","5"
"Disdainful Stroke","U","uncommon","3","-0.611","3","-0.68","5","0.382","5","0.502","","","-0.102","5"
"Duty Beyond Death","W","uncommon","2","-1.013","3","-0.68","4","-0.189","4","-0.035","","","-0.479","5"
"Feed the Swarm","B","common","5","0.192","3","-0.68","2","-1.331","2","-1.108","","","-0.732","5"
"Follow the Lumarets","G","common","3","-0.611","4","-0.284","4.5","0.096","4.5","0.233","2.75","-0.1678","-0.147","5"
"Giant Growth","G","common","4","-0.21","3","-0.68","2","-1.331","2","-1.108","","","-0.832","5"
"Graduation Day","W","uncommon","3","-0.611","4","-0.284","4.5","0.096","4","-0.035","1","-1.7585","-0.518","5"
"Magus of the Library","G","rare","2","-1.013","3","-0.68","0","-2.472","0","-2.181","3","0.0595","-1.257","5"
"Monstrous Rage","R","uncommon","5","0.192","3","-0.68","5","0.382","5","0.502","","","0.099","5"
"Rapier Wit","W","common","3","-0.611","4","-0.284","3","-0.76","2","-1.108","2.25","-0.6222","-0.677","5"
"Zombify","B","uncommon","3","-0.611","3","-0.68","3","-0.76","2","-1.108","","","-0.79","5"
"Efflorescence","G","common","3","-0.611","2","-1.076","2","-1.331","2","-1.108","1.5","-1.304","-1.086","5"
"Render Speechless","B|W","common","3","-0.611","2","-1.076","5.5","0.667","5","0.502","1.5","-1.304","-0.364","5"
"Honorbound Page // Forum's Favor","W","common","2","-1.013","1","-1.472","3","-0.76","2","-1.108","2","-0.8495","-1.04","5"
"Mage Tower Referee","","common","1","-1.414","1","-1.472","3","-0.76","3","-0.572","1.5","-1.304","-1.104","5"
"Root Manipulation","B|G","uncommon","3","-0.611","1","-1.472","4.5","0.096","4","-0.035","2.5","-0.395","-0.483","5"
"Scathing Shadelock // Venomous Words","B","uncommon","2","-1.013","1","-1.472","2","-1.331","2","-1.108","2.75","-0.1678","-1.018","5"
"Transcendent Archaic","","uncommon","3","-0.611","5","0.111","4.5","0.096","4","-0.035","4","0.9685","0.106","5"
"Choreographed Sparks","R","rare","0","-1.816","0","-1.867","2","-1.331","1","-1.645","1","-1.7585","-1.683","5"
"Cost of Brilliance","B","common","3","-0.611","3","-0.68","5.5","0.667","5","0.502","1.5","-1.304","-0.285","5"
"Pull from the Grave","B","common","2","-1.013","3","-0.68","4","-0.189","3","-0.572","2.75","-0.1678","-0.524","5"
"Rearing Embermare","R","common","3","-0.611","3","-0.68","4","-0.189","3","-0.572","1.75","-1.0767","-0.626","5"
"Seize the Spoils","R","common","2","-1.013","3","-0.68","4.5","0.096","2","-1.108","2.5","-0.395","-0.62","5"
"Spirit Mascot","R|W","common","4","-0.21","3","-0.68","4.5","0.096","4.5","0.233","3","0.0595","-0.1","5"
"Masterful Flourish","B","common","3","-0.611","1","-1.472","3","-0.76","3","-0.572","2.25","-0.6222","-0.807","5"
"Ulna Alley Shopkeep","B","common","3","-0.611","1","-1.472","2","-1.331","1","-1.645","2","-0.8495","-1.182","5"
"Mathemagics","U","mythic","4","-0.21","4","-0.284","5","0.382","4.5","0.233","2","-0.8495","-0.146","5"
"Muse's Encouragement","U","common","3","-0.611","2","-1.076","3","-0.76","3","-0.572","3","0.0595","-0.592","5"
"""Nita, Forum Conciliator""","B|W","rare","5","0.192","1","-1.472","5","0.382","4","-0.035","3.5","0.514","-0.084","5"
"Owlin Historian","W","common","5","0.192","2","-1.076","4.5","0.096","4.5","0.233","2.5","-0.395","-0.19","5"
"Wild Hypothesis","G","common","4","-0.21","2","-1.076","3","-0.76","3","-0.572","1.75","-1.0767","-0.739","5"
"Zimone's Experiment","G","uncommon","2","-1.013","1","-1.472","3","-0.76","3","-0.572","2.75","-0.1678","-0.797","5"
"Berserk","G","mythic","5","0.192","2","-1.076","2","-1.331","2","-1.108","","","-0.831","5"
"Bring to Light","G|U","rare","2","-1.013","2","-1.076","0","-2.472","1","-1.645","","","-1.551","5"
"Culling Ritual","B|G","rare","0","-1.816","2","-1.076","","","","","","","-1.446","5"
"""Mica, Reader of Ruins""","R","uncommon","3","-0.611","2","-1.076","3","-0.76","3","-0.572","2","-0.8495","-0.774","5"
"Pick Your Poison","G","rare","1","-1.414","2","-1.076","","","","","","","-1.245","5"
"Requisition Raid","W","uncommon","3","-0.611","2","-1.076","3","-0.76","2","-1.108","","","-0.889","5"
"Stargaze","B","uncommon","3","-0.611","2","-1.076","4","-0.189","2","-1.108","","","-0.746","5"
"Hungry Graffalon","G","common","2","-1.013","3","-0.68","1","-1.901","1","-1.645","2","-0.8495","-1.218","5"
"Chase Inspiration","U","common","3","-0.611","1","-1.472","3","-0.76","3","-0.572","2.5","-0.395","-0.762","5"
